contig	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.58	PSC.63	PSC.61	PSC.52	PSC.54	PSC.59	PSC.69	PSC.67	PSC.78	PSC.71
1	Phel_contig_1	274.138135307224	4.41419087049976	1.02371866558551	4.31191793106078	1.61844510182477e-05	0.000145264534271446	14	34	2	49	38	146	1688	24	13	327
2	Phel_contig_10	22466.4651895452	6.59860729766025	0.543693967638663	12.1366203975352	6.75592349607021e-34	3.7471936484938e-31	706	372	490	411	466	87835	12216	39587	10778	59588
3	Phel_contig_10001	320.240395573761	3.80480743569593	0.75287544906581	5.05370103437036	4.33329740030998e-07	6.03640987932468e-06	21	15	13	38	160	68	1118	853	542	229
4	Phel_contig_10010	7.41056761318864	3.13154076642001	0.940342603640962	3.33021257815485	0.000867797043136269	0.00437596580714361	5	2	0	0	1	13	21	4	13	7
5	Phel_contig_10023	21.5624127564408	3.32481189027417	0.611980057296239	5.43287620345567	5.54528804718721e-08	9.4311538514677e-07	2	2	7	6	4	17	60	49	14	46
6	Phel_contig_10045	45.7652519397205	6.34666104837458	0.778891843207319	8.14832136672572	3.69010634171519e-16	3.37675791768133e-14	1	0	2	1	2	26	92	126	133	53
7	Phel_contig_10051	19.1541642370968	3.22947846761197	0.663896184585458	4.8644329378523	1.1478541683066e-06	1.40524236874941e-05	2	1	8	1	8	19	13	61	49	29
8	Phel_contig_10056	208.066181782463	2.12630645994524	0.413979328090821	5.13626240651021	2.80256271923359e-07	4.10830903901459e-06	138	80	61	64	70	429	337	288	125	394
9	Phel_contig_10063	16.9956806628792	3.39454666338874	0.642560112805128	5.2828468430287	1.27191720937409e-07	2.01328863811118e-06	5	1	2	4	4	8	29	53	17	47
10	Phel_contig_10068	171.081718431627	2.01449538253791	0.651916217330591	3.09011392719557	0.00200079733115407	0.00877200675368692	58	65	49	106	93	291	50	157	677	57
11	Phel_contig_10075	35.3485298730337	2.63467941955263	0.544929033948162	4.83490373134213	1.33210085684426e-06	1.60763042128389e-05	11	4	25	5	6	79	51	61	51	41
12	Phel_contig_10101	139.942644294447	6.21605150498191	0.917303897996847	6.77643637899735	1.23176264664945e-11	4.82375291219577e-10	15	1	3	0	0	179	204	275	48	624
13	Phel_contig_10102	17.2317456889992	2.06935277346392	0.603295190983183	3.43008332304377	0.000603395926971953	0.00322562834446179	6	11	3	11	5	23	31	48	4	31
14	Phel_contig_1014	257.237229266326	4.96351392444547	0.856901869618662	5.79239478921237	6.93897949527138e-09	1.45062213980498e-07	5	12	59	1	4	470	989	340	112	323
15	Phel_contig_10162	53.167075949531	3.01734594220046	0.485614065471529	6.21346488238687	5.18288196492206e-10	1.40960095017314e-08	8	7	10	20	19	32	77	78	117	138
16	Phel_contig_10168	51.9008158975566	2.31874794648769	0.491924939862124	4.71362144626695	2.43352573475616e-06	2.74546958983823e-05	18	10	24	30	10	63	74	55	142	57
17	Phel_contig_10176	55.400758775218	2.93242607331987	0.745634028588285	3.93279539410487	8.3963702698972e-05	0.000595813449595995	33	0	7	7	22	152	66	92	27	124
18	Phel_contig_10181	129.894994259866	3.55555685491505	0.837695019451949	4.24445266159184	2.19127618589069e-05	0.000188642712005503	57	6	1	34	10	37	200	465	57	459
