baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Phel_contig_10256	88.2957006885331	1.64998785709818	0.424883321929862	3.88339050260615	0.000103009931564463	0.0257985343899329
Phel_contig_10419	264.106340617948	2.95232209600915	0.787841405018578	3.74735584751291	0.000178708476797827	0.0369353985832247
Phel_contig_10456	77.0866504809601	2.32495590531623	0.461202412237568	5.04107490252811	4.62924216867385e-07	0.000379028104948958
Phel_contig_1046	201.087687551763	-6.36493924456743	0.92846578388685	-6.85532989478815	7.11481377055287e-12	3.78650388868824e-08
Phel_contig_10817	122.540260974275	2.85725325010511	0.784749443442603	3.64097518511217	0.000271607316870182	0.0487842283955089
Phel_contig_11009	392.170658063512	3.82527224831171	1.02077001074446	3.74743792239928	0.000178650030736387	0.0369353985832247
Phel_contig_11051	103.348744643254	5.44009287141569	0.89065082597423	6.10799733494335	1.00889037894827e-09	3.57954306450847e-06
Phel_contig_1111	264.563057127369	6.14331761959664	1.11595915108763	5.50496639022073	3.69238705057848e-08	5.61453825233677e-05
Phel_contig_11119	470.396837166736	3.49653025389741	0.883672480511341	3.95681695538841	7.59550869468164e-05	0.0221497519304634
Phel_contig_11271	313.217240160668	2.92579110109106	0.662820820029049	4.41415087257343	1.01407222373861e-05	0.00502036499975524
Phel_contig_11410	95.0366259199619	1.88014399305642	0.490799202628194	3.83078045560869	0.000127737443938456	0.0295573337669767
Phel_contig_1164	1009.61915989607	4.4039698350044	1.12078160607653	3.92937376124611	8.51673734895291e-05	0.0232441416262192
Phel_contig_11675	92.9173345047946	3.76850083434319	0.981472530691834	3.83963963992635	0.000123215032307421	0.0288241934918724
Phel_contig_11921	180.732250329157	1.72956239073246	0.401076237820159	4.31230331702671	1.61562583949302e-05	0.00636915608724581
Phel_contig_11968	17.1881916943543	-7.1954768778523	1.35342282697622	-5.31650326448847	1.05780325651749e-07	0.000132461857204379
Phel_contig_12062	1271.12063335941	4.05325689978347	0.953636920453593	4.25031457240094	2.13470496779413e-05	0.00783510333696576
Phel_contig_12101	62.2061174499704	-5.84661971756101	1.11527675212603	-5.24230394511111	1.58583856426616e-07	0.00016879665678049
Phel_contig_1217	4138.80686973933	2.50466351732584	0.578309488376976	4.33100885886408	1.48427709366096e-05	0.00619226535773786
Phel_contig_12195	200.125336706078	3.40905490625582	0.727675004202443	4.68485915631012	2.80152510754345e-06	0.00186371457779328
Phel_contig_12540	236.698007841508	3.95315133878364	0.915303458063438	4.31895160447395	1.56772152011142e-05	0.0062969161736098
Phel_contig_12632	241.133623222721	2.39392274281436	0.635431290683809	3.76739826620464	0.000164957728279727	0.0351162011961883
Phel_contig_12768	526.906413519573	3.56366457045068	0.814480033866014	4.37538604050903	1.21217758311301e-05	0.00573440808651329
Phel_contig_1288	268.267605056445	1.80282058870678	0.484517812182506	3.72085513344904	0.000198549316192318	0.0399674006249924
Phel_contig_13472	146.529897396038	2.0445603051601	0.512879143546633	3.986436826075	6.70729757661049e-05	0.0201105564522372
Phel_contig_13663	105.811643622261	5.3555921118544	1.25131627457695	4.27996680029198	1.86921194841531e-05	0.00715347896729084
Phel_contig_1379	4319.94192667275	1.82135097045011	0.481803062293495	3.78028101726887	0.000156651447381719	0.0336848082006266
Phel_contig_13989	55.4287328717291	-5.3068533870768	1.15340004119906	-4.601051844562	4.20362773577367e-06	0.00254884449436372
Phel_contig_14148	24.5330322826228	-7.70026163168687	1.28387571033068	-5.99766906541408	2.00169923268646e-09	6.08745332363278e-06
Phel_contig_14316	57.4618347590967	3.82908672926088	0.837256747866653	4.57337219319817	4.79936480288083e-06	0.0027613210249656
Phel_contig_14713	30.7642736232915	3.77934013501137	0.870352795502476	4.34230826228284	1.40993517063614e-05	0.00600293998250041
Phel_contig_14988	170.310028149785	4.4944901979665	1.01743827737551	4.41745735137867	9.98687679573923e-06	0.00502036499975524
Phel_contig_15035	206.25065664672	2.64329293545147	0.58672594795159	4.50515772257879	6.63236625036562e-06	0.00344365396921423
Phel_contig_1526	172.093405832755	2.55213434496812	0.666966734897891	3.82647921017955	0.000129989122289288	0.0297549294117673
Phel_contig_15449	157.982454179537	2.6603489502159	0.527048107053558	5.04763970235749	4.47301675654744e-07	0.000379028104948958
Phel_contig_15502	27.1622329581774	5.34642630844484	1.390348568526	3.84538555976142	0.000120363029944781	0.0287897548479156
Phel_contig_16236	259.625741913397	4.11840758269714	1.04626652583665	3.93628915863847	8.27512568930561e-05	0.022964924174372
Phel_contig_16400	152.910934250019	-3.58720349141074	0.547873891988181	-6.54749850990915	5.85088046143519e-11	2.49107086526065e-07
Phel_contig_16695	79.9151554089629	3.33489460793034	0.889677895932271	3.74842920474695	0.000177945550084272	0.0369353985832247
Phel_contig_16959	627.027592339077	3.8571394794729	1.05163497814871	3.6677550287106	0.000244689446619715	0.0460968932711547
Phel_contig_17219	185.912264970541	3.62416504433752	0.884181766651911	4.09889140562236	4.15133741829969e-05	0.013595949378579
Phel_contig_17226	394.876284920048	-5.36479547789796	1.03093598098586	-5.20381049535952	1.9524310760209e-07	0.00019792072736349
Phel_contig_17301	74.6412119131754	2.01984277230928	0.524592619167709	3.85030726416596	0.000117969733336002	0.0285379509461001
Phel_contig_17369	79.5309772936501	2.43363313847723	0.665851180170474	3.65492051520305	0.000257261669395934	0.047211951880178
Phel_contig_17491	130.842666249495	4.03464251269441	1.09280261849461	3.6920139505635	0.000222485257782191	0.0427458603858918
Phel_contig_17671	117.613897832517	4.01297536652276	0.993082686201036	4.04092773168174	5.32401645589125e-05	0.0166673032813254
Phel_contig_1774	963.553652577091	3.36863905490011	0.813746797522456	4.13966489964238	3.47813512373431e-05	0.0119423452442026
Phel_contig_17863	82.1290019717756	2.03868284103957	0.534628961437923	3.81326674775789	0.00013714195529632	0.0307313467826111
Phel_contig_18038	207.401069344508	2.88296469851364	0.73257614160064	3.93537891121395	8.30655374589743e-05	0.022964924174372
Phel_contig_18212	166.049850754396	3.1115232384154	0.75856237341953	4.10186867612342	4.09826864645107e-05	0.013595949378579
Phel_contig_18284	58.2423478020674	2.74098206208126	0.533089567267651	5.14169143494995	2.72276030157966e-07	0.000241508838750116
Phel_contig_18546	98.4133784689559	2.58723963648419	0.490788061338773	5.27160263317472	1.35237627737307e-07	0.000151523085224831
