star_ID,sample_ID,sample_month,sample_day,sample_year,sample_date,star_death_month,star_death_day,star_death_year,star_death_date,most-recent-inoc.type_at_sampling_time,inoc_month,inoc_day,inoc_year,most_recent_inoc_date,exposure_history_before_experiment2_start,paired_sample,total_RNA_ng,sample_vol_ul,RNA_conc_ng.ul,RIN,not-enough-RNA_Azenta,censored,notes
E01,PSC_40,10,02,2021,10/02/2021,10,03,2021,10/03/2021,unfiltered LIVE ,09,23,2021,09/23/2021,experiment 1 live inoc - never showed disease signs,n,403,12,31,NA,NA,no,DEAD 3 OCT 21 used in prelim experiment: given live inoc - survived
E02,PSC_43,10,03,2021,10/03/2021,10,05,2021,10/05/2021,unfiltered LIVE ,09,23,2021,09/23/2021,experiment 1 live inoc - never showed disease signs,n,1321.6,13,94.4,7.9,NA,no,DEAD 5 OCT 21 used in prelim experiment: given live inoc - survived --> this star used for inoculate for 5 Oct 21
E04,PSC_38,10,02,2021,10/02/2021,10,02,2021,10/02/2021,unfiltered LIVE ,09,23,2021,09/23/2021,experiment 1 live inoc - never showed disease signs,A,858,13,66,NA,NA,no,DEAD 2 OCT 21 used in prelim experiment: given live inoc - survived
E05,PSC_36,10,02,2021,10/02/2021,10,03,2021,10/03/2021,unfiltered LIVE ,09,23,2021,09/23/2021,experiment 1 live inoc - never showed disease signs,B,1896,12,158,NA,NA,no,DEAD 5 OCT 21 used in prelim experiment: given live inoc - survived
E06,PSC_56,10,14,2021,10/14/2021,10,18,2021,10/18/2021,heat-killed,10,05,2021,10/05/2021,unexposed,C,425.6,14,30.4,NA,NA,yes,injected with 0.45 live inoc 23 Sept 21; heat-killed live inoc 5 Oct 21
E07,PSC_81,10,18,2021,10/18/2021,10,18,2021,10/18/2021,heat-killed,10,05,2021,10/05/2021,unexposed,E,589.4,14,42.1,NA,NA,yes,injected with 0.45 live inoc 23 Sept 21; heat-killed live inoc 5 Oct 21
E09,PSC_61,10,15,2021,10/15/2021,10,18,2021,10/18/2021,heat-killed,10,05,2021,10/05/2021,unexposed,F,2069.2,13,147.8,9.7,NA,yes,injected with 0.45 live inoc 23 Sept 21; heat-killed live inoc 5 Oct 21
E10,PSC_76,10,17,2021,10/17/2021,10,18,2021,10/18/2021,heat-killed,10,05,2021,10/05/2021,unexposed,G,478.8,14,34.2,NA,NA,yes,injected with 0.45 live inoc 23 Sept 21; heat-killed live inoc 5 Oct 21
E11,PSC_52,10,14,2021,10/14/2021,10,18,2021,10/18/2021,heat-killed,10,05,2021,10/05/2021,unexposed,n,270.2,14,19.3,NA,NA,yes,injected with 0.45 live inoc 23 Sept 21; heat-killed live inoc 5 Oct 21
E12,PSC_34,10,02,2021,10/02/2021,10,18,2021,10/18/2021,0.45 LIVE,09,23,2021,09/23/2021,tank-exposure,H,884,13,68,NA,NA,yes,injected with 0.45 live inoc 23 Sept (sampled before injected with heat-killed live inoc on 5 Oct 21)
