target_id	length	eff_length	est_counts	tpm
Phel_contig_1	905	603.71	20	6.31974
Phel_contig_10	2138	1835.88	8478.66	881.012
Phel_contig_100	10344	10041.9	213	4.04634
Phel_contig_1000	4676	4373.88	1458	63.59
Phel_contig_10000	843	543.814	0	0
Phel_contig_10001	1108	805.877	15	3.55075
Phel_contig_10002	3127	2824.88	28	1.89085
Phel_contig_10003	1120	817.877	9	2.09919
Phel_contig_10004	712	419.635	6	2.72758
Phel_contig_10005	1319	1016.88	29	5.44036
Phel_contig_10006	861	561.131	1	0.339965
Phel_contig_10007	777	480.669	0	0
Phel_contig_10008	510	241.147	0	0
Phel_contig_10009	609	324.694	7.62681	4.48092
Phel_contig_1001	1473	1170.88	113	18.4105
Phel_contig_10010	771	475.007	0	0
Phel_contig_10011	1568	1265.88	34.8061	5.24519
Phel_contig_10012	692	400.862	83	39.4986
Phel_contig_10013	2373	2070.88	9	0.829061
Phel_contig_10014	793	495.995	1	0.38461
Phel_contig_10015	1463	1160.88	7.44057	1.2227
Phel_contig_10016	938	636.118	5.11003	1.53244
Phel_contig_10017	1069	766.877	19.3953	4.82468
Phel_contig_10018	846	546.687	3	1.04684
Phel_contig_10019	679	388.711	2	0.981525
Phel_contig_1002	859	559.149	7	2.38819
Phel_contig_10020	1174	871.877	8	1.75038
Phel_contig_10021	2110	1807.88	48	5.06489
Phel_contig_10022	806	508.473	3	1.12552
Phel_contig_10023	1575	1272.88	10	1.49869
Phel_contig_10024	928	626.203	0	0
Phel_contig_10025	1488	1185.88	29	4.66505
Phel_contig_10026	598	314.626	33	20.0086
Phel_contig_10027	1401	1098.88	68	11.8048
Phel_contig_10028	543	267.989	1	0.711839
Phel_contig_10029	1102	799.877	0	0
Phel_contig_1003	1146	843.877	23	5.19932
Phel_contig_10030	2857	2554.88	169	12.6187
Phel_contig_10031	2059	1756.88	69.6546	7.56322
Phel_contig_10032	935	633.14	11	3.3143
Phel_contig_10033	516	246.219	0	0
Phel_contig_10034	4128	3825.88	45	2.24378
Phel_contig_10035	2487	2184.88	5	0.436557
Phel_contig_10036	1004	701.877	0	0
Phel_contig_10037	2471	2168.88	170.07	14.9586
Phel_contig_10038	834	535.248	13	4.63325
Phel_contig_10039	1685	1382.88	16	2.20716
Phel_contig_1004	1581	1278.88	83.6311	12.4749
Phel_contig_10040	2252	1949.88	12.0209	1.17606
Phel_contig_10041	1570	1267.88	4.49239	0.675925
Phel_contig_10042	516	246.219	0	0
Phel_contig_10043	2675	2372.88	132	10.612
Phel_contig_10044	2379	2076.88	4	0.367407
Phel_contig_10045	1053	750.877	5	1.27028
Phel_contig_10046	1354	1051.88	16.0368	2.90837
Phel_contig_10047	604	320.074	12	7.15203
Phel_contig_10048	4774	4471.88	14	0.597223
Phel_contig_10049	1759	1456.88	70	9.16586
Phel_contig_1005	669	379.551	107	53.7788
Phel_contig_10050	2528	2225.88	34.4791	2.95497
Phel_contig_10051	991	688.9	14	3.87677
Phel_contig_10052	1533	1230.88	9	1.39485
Phel_contig_10053	1349	1046.88	17	3.09779
Phel_contig_10054	842	542.814	0	0
Phel_contig_10055	1012	709.877	4	1.07492
Phel_contig_10056	605	320.985	62.5348	37.1651
Phel_contig_10057	565	285.809	17	11.3467
Phel_contig_10058	1421	1118.88	90	15.3447
Phel_contig_10059	671	381.434	8.99429	4.49827
Phel_contig_1006	680	389.605	32	15.6684
Phel_contig_10060	1142	839.877	7	1.58994
Phel_contig_10061	959	656.99	5	1.45181
Phel_contig_10062	725	431.942	0	0
Phel_contig_10063	519	248.659	5	3.83588
Phel_contig_10064	1344	1041.88	35	6.4084
Phel_contig_10065	650	362.192	0	0
Phel_contig_10066	805	507.473	8	3.00729
Phel_contig_10067	1839	1536.88	29.654	3.6808
Phel_contig_10068	1288	985.877	25	4.83744
Phel_contig_10069	2996	2693.88	28	1.9828
Phel_contig_1007	757	461.623	155	64.0534
Phel_contig_10070	2396	2093.88	72	6.55963
Phel_contig_10071	945	643.054	0	0
Phel_contig_10072	1011	708.877	4.0248	1.08311
Phel_contig_10073	1739	1436.88	56	7.43475
Phel_contig_10074	857	557.187	79	27.0473
Phel_contig_10075	974	671.945	8	2.27119
Phel_contig_10076	591	308.376	0	0
Phel_contig_10077	1218	915.877	3	0.624859
Phel_contig_10078	1722	1419.88	41	5.50847
Phel_contig_10079	4519	4216.88	33	1.49287
Phel_contig_1008	917	615.285	17.6173	5.46213
Phel_contig_10080	1179	876.877	17	3.69835
Phel_contig_10081	516	246.219	9	6.97299
Phel_contig_10082	762	466.467	2.0043	0.81967
Phel_contig_10083	762	466.467	0	0
Phel_contig_10084	648	360.427	7.03247	3.7221
Phel_contig_10085	993	690.9	10.3656	2.86206
Phel_contig_10086	1909	1606.88	0	0
Phel_contig_10087	1279	976.877	17.6031	3.43753
Phel_contig_10088	796	498.912	0	0
Phel_contig_10089	995	692.877	0	0
Phel_contig_1009	2709	2406.88	124.855	9.8958
Phel_contig_10090	2530	2227.88	27	2.31191
Phel_contig_10091	1233	930.877	1	0.20493
Phel_contig_10092	1180	877.877	10	2.17302
Phel_contig_10093	689	398.134	0	0
Phel_contig_10094	1244	941.877	27.5449	5.57886
Phel_contig_10095	1435	1132.88	13.3861	2.25408
Phel_contig_10096	2449	2146.88	42	3.73199
Phel_contig_10097	503	235.191	3.19963	2.59524
Phel_contig_10098	1041	738.877	12	3.09818
Phel_contig_10099	744	449.406	5.68329	2.41245
Phel_contig_101	1984	1681.88	88	9.98129
Phel_contig_1010	4061	3758.88	198	10.0486
Phel_contig_10100	1727	1424.88	7	0.937171
Phel_contig_10101	1002	699.877	76	20.7152
Phel_contig_10102	587	304.826	4.04061	2.52868
Phel_contig_10103	1633	1330.88	56	8.02691
Phel_contig_10104	5712	5409.88	2566.97	90.5174
Phel_contig_10105	4352	4049.88	92	4.33355
Phel_contig_10106	2694	2391.88	12	0.957063
Phel_contig_10107	3186	2883.88	12.8002	0.846714
Phel_contig_10108	6573	6270.88	144	4.38059
Phel_contig_10109	1009	706.877	0	0
Phel_contig_1011	3851	3548.88	27.1684	1.4604
