Phel_contig,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GO_ID,GO_slim,CC_MF_BP
Phel_contig_11921,180.7322503,1.729562391,0.401076238,4.312303317,1.62E-05,0.006369156,GO:0007165,signal transduction,P
Phel_contig_23199,83.50994458,1.807114434,0.443613592,4.073622779,4.63E-05,0.014706968,GO:0001946,developmental processes,P
Phel_contig_23199,83.50994458,1.807114434,0.443613592,4.073622779,4.63E-05,0.014706968,GO:0006351,RNA metabolism,P
Phel_contig_23199,83.50994458,1.807114434,0.443613592,4.073622779,4.63E-05,0.014706968,GO:0006355,RNA metabolism,P
Phel_contig_23199,83.50994458,1.807114434,0.443613592,4.073622779,4.63E-05,0.014706968,GO:0008285,cell cycle and proliferation,P
Phel_contig_23199,83.50994458,1.807114434,0.443613592,4.073622779,4.63E-05,0.014706968,GO:0046825,transport,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0006915,death,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0010628,other metabolic processes,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0030968,signal transduction,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0030968,stress response,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0032515,other metabolic processes,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0032516,other metabolic processes,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0033138,protein metabolism,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0034976,stress response,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0035308,protein metabolism,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0045943,RNA metabolism,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0060734,protein metabolism,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0060734,stress response,P
Phel_contig_1379,4319.941927,1.82135097,0.481803062,3.780281017,0.000156651,0.033684808,GO:0070262,protein metabolism,P
Phel_contig_5694,319.5908928,1.841897154,0.419423899,4.391493086,1.13E-05,0.005446579,GO:0031047,other metabolic processes,P
Phel_contig_5694,319.5908928,1.841897154,0.419423899,4.391493086,1.13E-05,0.005446579,GO:0034587,RNA metabolism,P
Phel_contig_5694,319.5908928,1.841897154,0.419423899,4.391493086,1.13E-05,0.005446579,GO:0051321,cell cycle and proliferation,P
Phel_contig_19992,289.9910728,2.001610164,0.540928367,3.700323899,0.000215324,0.042184237,GO:0009597,other biological processes,P
Phel_contig_19992,289.9910728,2.001610164,0.540928367,3.700323899,0.000215324,0.042184237,GO:0009615,other biological processes,P
Phel_contig_19992,289.9910728,2.001610164,0.540928367,3.700323899,0.000215324,0.042184237,GO:0016032,other biological processes,P
Phel_contig_19992,289.9910728,2.001610164,0.540928367,3.700323899,0.000215324,0.042184237,GO:0016579,protein metabolism,P
Phel_contig_19992,289.9910728,2.001610164,0.540928367,3.700323899,0.000215324,0.042184237,GO:0016925,protein metabolism,P
Phel_contig_19992,289.9910728,2.001610164,0.540928367,3.700323899,0.000215324,0.042184237,GO:0032480,other biological processes,P
Phel_contig_19992,289.9910728,2.001610164,0.540928367,3.700323899,0.000215324,0.042184237,GO:0032727,other biological processes,P
Phel_contig_19992,289.9910728,2.001610164,0.540928367,3.700323899,0.000215324,0.042184237,GO:0032728,other biological processes,P
Phel_contig_19992,289.9910728,2.001610164,0.540928367,3.700323899,0.000215324,0.042184237,GO:0034344,other biological processes,P
Phel_contig_19992,289.9910728,2.001610164,0.540928367,3.700323899,0.000215324,0.042184237,GO:0045087,stress response,P
Phel_contig_17301,74.64121191,2.019842772,0.524592619,3.850307264,0.00011797,0.028537951,GO:0001568,developmental processes,P
Phel_contig_17301,74.64121191,2.019842772,0.524592619,3.850307264,0.00011797,0.028537951,GO:0001701,developmental processes,P
Phel_contig_17301,74.64121191,2.019842772,0.524592619,3.850307264,0.00011797,0.028537951,GO:0001756,developmental processes,P
Phel_contig_17301,74.64121191,2.019842772,0.524592619,3.850307264,0.00011797,0.028537951,GO:0001841,developmental processes,P
Phel_contig_17301,74.64121191,2.019842772,0.524592619,3.850307264,0.00011797,0.028537951,GO:0001947,developmental processes,P
Phel_contig_17301,74.64121191,2.019842772,0.524592619,3.850307264,0.00011797,0.028537951,GO:0007219,signal transduction,P
Phel_contig_17301,74.64121191,2.019842772,0.524592619,3.850307264,0.00011797,0.028537951,GO:0007507,developmental processes,P
Phel_contig_17301,74.64121191,2.019842772,0.524592619,3.850307264,0.00011797,0.028537951,GO:0045665,developmental processes,P
Phel_contig_17301,74.64121191,2.019842772,0.524592619,3.850307264,0.00011797,0.028537951,GO:0045807,cell organization and biogenesis,P
Phel_contig_17301,74.64121191,2.019842772,0.524592619,3.850307264,0.00011797,0.028537951,GO:0045807,transport,P
Phel_contig_20195,55.99357354,2.220234638,0.524681087,4.231588848,2.32E-05,0.008372545,GO:0034058,cell organization and biogenesis,P
Phel_contig_20195,55.99357354,2.220234638,0.524681087,4.231588848,2.32E-05,0.008372545,GO:0034058,transport,P
Phel_contig_6825,245.7913458,2.322360361,0.451050829,5.148777502,2.62E-07,0.000241509,GO:0001934,protein metabolism,P
Phel_contig_6825,245.7913458,2.322360361,0.451050829,5.148777502,2.62E-07,0.000241509,GO:0010976,cell organization and biogenesis,P
Phel_contig_6825,245.7913458,2.322360361,0.451050829,5.148777502,2.62E-07,0.000241509,GO:0010976,developmental processes,P
Phel_contig_6825,245.7913458,2.322360361,0.451050829,5.148777502,2.62E-07,0.000241509,GO:0030036,cell organization and biogenesis,P
Phel_contig_10456,77.08665048,2.324955905,0.461202412,5.041074903,4.63E-07,0.000379028,GO:0009615,other biological processes,P
Phel_contig_10456,77.08665048,2.324955905,0.461202412,5.041074903,4.63E-07,0.000379028,GO:0045071,other biological processes,P
Phel_contig_10456,77.08665048,2.324955905,0.461202412,5.041074903,4.63E-07,0.000379028,GO:0045087,stress response,P
Phel_contig_10456,77.08665048,2.324955905,0.461202412,5.041074903,4.63E-07,0.000379028,GO:0051607,stress response,P
Phel_contig_1526,172.0934058,2.552134345,0.666966735,3.82647921,0.000129989,0.029754929,GO:0006457,protein metabolism,P
Phel_contig_1526,172.0934058,2.552134345,0.666966735,3.82647921,0.000129989,0.029754929,GO:0010763,other biological processes,P
Phel_contig_1526,172.0934058,2.552134345,0.666966735,3.82647921,0.000129989,0.029754929,GO:0030838,cell organization and biogenesis,P
Phel_contig_1526,172.0934058,2.552134345,0.666966735,3.82647921,0.000129989,0.029754929,GO:0030838,protein metabolism,P
Phel_contig_1526,172.0934058,2.552134345,0.666966735,3.82647921,0.000129989,0.029754929,GO:0033138,protein metabolism,P
Phel_contig_1526,172.0934058,2.552134345,0.666966735,3.82647921,0.000129989,0.029754929,GO:0033209,signal transduction,P
Phel_contig_1526,172.0934058,2.552134345,0.666966735,3.82647921,0.000129989,0.029754929,GO:0043066,death,P
Phel_contig_1526,172.0934058,2.552134345,0.666966735,3.82647921,0.000129989,0.029754929,GO:0045785,cell adhesion,P
Phel_contig_1526,172.0934058,2.552134345,0.666966735,3.82647921,0.000129989,0.029754929,GO:0051291,cell organization and biogenesis,P
Phel_contig_1526,172.0934058,2.552134345,0.666966735,3.82647921,0.000129989,0.029754929,GO:0051496,cell organization and biogenesis,P
Phel_contig_1526,172.0934058,2.552134345,0.666966735,3.82647921,0.000129989,0.029754929,GO:0051897,signal transduction,P
Phel_contig_15035,206.2506566,2.643292935,0.586725948,4.505157723,6.63E-06,0.003443654,GO:0017000,other metabolic processes,P
Phel_contig_18284,58.2423478,2.740982062,0.533089567,5.141691435,2.72E-07,0.000241509,GO:0006457,protein metabolism,P
