Phel_contig	PSC.58	PSC.63	PSC.61	PSC.52	PSC.54	PSC.59	PSC.69	PSC.67	PSC.78	PSC.71	cluster	GO_ID	GO_slim	CC_MF_BP
Phel_contig_1	14	34	2	49	38	146	1688	24	13	327	1	NA	NA	NA
Phel_contig_10	706	372	490	411	466	87835	12216	39587	10778	59588	1	NA	NA	NA
Phel_contig_10001	21	15	13	38	160	68	1118	853	542	229	1	NA	NA	NA
Phel_contig_10010	5	2	0	0	1	13	21	4	13	7	1	NA	NA	NA
Phel_contig_10023	2	2	7	6	4	17	60	49	14	46	1	NA	NA	NA
Phel_contig_10045	1	0	2	1	2	26	92	126	133	53	2	NA	NA	NA
Phel_contig_10051	2	1	8	1	8	19	13	61	49	29	1	NA	NA	NA
Phel_contig_10056	138	80	61	64	70	429	337	288	125	394	1	NA	NA	NA
Phel_contig_10063	5	1	2	4	4	8	29	53	17	47	1	NA	NA	NA
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0000122	RNA metabolism	P
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0003682	other molecular function	F
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0005634	nucleus	C
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0005694	other cellular component	C
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0006351	RNA metabolism	P
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0006355	RNA metabolism	P
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0010452	cell organization and biogenesis	P
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0010452	protein metabolism	P
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0018024	other molecular function	F
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0034770	cell organization and biogenesis	P
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0034770	protein metabolism	P
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0043565	nucleic acid binding activity	F
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0046872	other molecular function	F
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0048298	DNA metabolism	P
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0048298	developmental processes	P
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0060348	developmental processes	P
Phel_contig_10068	58	65	49	106	93	291	50	157	677	57	2	GO:0070201	other biological processes	P
Phel_contig_10075	11	4	25	5	6	79	51	61	51	41	1	NA	NA	NA
Phel_contig_10101	15	1	3	0	0	179	204	275	48	624	3	GO:0006534	other metabolic processes	P
Phel_contig_10101	15	1	3	0	0	179	204	275	48	624	3	GO:0030170	other molecular function	F
Phel_contig_10101	15	1	3	0	0	179	204	275	48	624	3	GO:0031071	other molecular function	F
Phel_contig_10102	6	11	3	11	5	23	31	48	4	31	1	NA	NA	NA
Phel_contig_1014	5	12	59	1	4	470	989	340	112	323	1	NA	NA	NA
Phel_contig_10162	8	7	10	20	19	32	77	78	117	138	2	NA	NA	NA
Phel_contig_10168	18	10	24	30	10	63	74	55	142	57	2	NA	NA	NA
Phel_contig_10176	33	0	7	7	22	152	66	92	27	124	1	GO:0004181	other molecular function	F
