Phel_contig	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GO_ID	GO_slim	CC_MF_BP
Phel_contig_13198	252.9975632	-3.471608356	0.511238671	-6.790582466	1.12e-11	4.94e-08	GO:0007275	developmental processes	P
Phel_contig_13198	252.9975632	-3.471608356	0.511238671	-6.790582466	1.12e-11	4.94e-08	GO:0016055	signal transduction	P
Phel_contig_27435	64.84796	-2.954824	0.7839419	-3.769188	0.000163779	0.004331019	GO:0016055	signal transduction	P
Phel_contig_27435	64.84796	-2.954824	0.7839419	-3.769188	0.000163779	0.004331019	GO:0030182	developmental processes	P
Phel_contig_27435	64.84796	-2.954824	0.7839419	-3.769188	0.000163779	0.004331019	GO:0045165	other biological processes	P
Phel_contig_27435	64.84796	-2.954824	0.7839419	-3.769188	0.000163779	0.004331019	GO:0070307	developmental processes	P
Phel_contig_19062	36.57771938	-2.808632958	0.672369735	-4.177215026	2.95e-05	0.001421291	GO:0006955	other biological processes	P
Phel_contig_12365	91.38023026	-2.620907743	0.556274975	-4.711532714	2.46e-06	0.000263052	GO:0017144	other metabolic processes	P
Phel_contig_12365	91.38023026	-2.620907743	0.556274975	-4.711532714	2.46e-06	0.000263052	GO:0043385	other metabolic processes	P
Phel_contig_12365	91.38023026	-2.620907743	0.556274975	-4.711532714	2.46e-06	0.000263052	GO:0046677	other biological processes	P
Phel_contig_26374	7.541151	-2.443193	0.7745751	-3.154236	0.001609189	0.01905653	GO:0006355	RNA metabolism	P
Phel_contig_26374	7.541151	-2.443193	0.7745751	-3.154236	0.001609189	0.01905653	GO:0006366	RNA metabolism	P
Phel_contig_26374	7.541151	-2.443193	0.7745751	-3.154236	0.001609189	0.01905653	GO:0007165	signal transduction	P
Phel_contig_26374	7.541151	-2.443193	0.7745751	-3.154236	0.001609189	0.01905653	GO:0021891	developmental processes	P
Phel_contig_26374	7.541151	-2.443193	0.7745751	-3.154236	0.001609189	0.01905653	GO:0022008	developmental processes	P
Phel_contig_26374	7.541151	-2.443193	0.7745751	-3.154236	0.001609189	0.01905653	GO:0035136	developmental processes	P
Phel_contig_26374	7.541151	-2.443193	0.7745751	-3.154236	0.001609189	0.01905653	GO:0035137	developmental processes	P
Phel_contig_26374	7.541151	-2.443193	0.7745751	-3.154236	0.001609189	0.01905653	GO:0045879	signal transduction	P
Phel_contig_12093	157.619152	-2.392263654	0.744770195	-3.212082961	0.001317763	0.01678015	GO:0001701	developmental processes	P
